Date,Price,Open,High,Low,Vol.,Change %
"Aug 21, 2025",378.3,364.9,380.45,362.35,19.04K,0.0364
"Aug 20, 2025",365,352.65,366,351.25,20.44K,0.0327
"Aug 19, 2025",353.45,350.05,357.8,345.5,26.47K,0.0126
"Aug 18, 2025",349.05,338.05,352.05,337.6,24.00K,0.0387
"Aug 17, 2025",336.05,334.8,339.6,325.55,21.84K,0.0055
"Aug 14, 2025",334.2,320.1,336.8,318.2,23.84K,0.0486
"Aug 13, 2025",318.7,312.9,321,308.75,19.76K,0.0194
"Aug 12, 2025",312.65,310.25,317.6,309.15,23.61K,0.0141
"Aug 11, 2025",308.3,314.75,320.3,303.7,21.36K,-1.83%
"Aug 10, 2025",314.05,300,317.6,299.15,32.62K,0.0152
"Aug 07, 2025",309.35,297.8,309.95,297.8,27.80K,0.0388
"Aug 06, 2025",297.8,297.2,299.35,292.5,18.68K,0.015
"Aug 05, 2025",293.4,297.55,300.15,292.05,14.57K,-1.77%
"Aug 04, 2025",298.7,289.25,299.6,288.05,16.40K,0.0352
"Aug 03, 2025",288.55,287.1,294.05,286.05,13.11K,0.0153
"Jul 31, 2025",284.2,294.1,297.05,283.65,15.43K,-3.92%
"Jul 30, 2025",295.8,297,303.6,294.05,12.20K,0.0082
"Jul 29, 2025",293.4,297.65,301.8,290.55,12.57K,-1.05%
"Jul 28, 2025",296.5,301.25,301.75,288.95,15.27K,-1.72%
"Jul 27, 2025",301.7,300,306,298.8,12.05K,0.0139
"Jul 24, 2025",297.55,305,307.45,297.25,10.08K,-2.39%
"Jul 23, 2025",304.85,299.25,307.2,298.45,10.89K,0.0116
"Jul 22, 2025",301.35,297.9,302.5,292.85,10.60K,0.0169
"Jul 21, 2025",296.35,291.95,298.55,285.75,11.51K,-0.30%
"Jul 20, 2025",297.25,297.25,297.25,297.25,13.13K,-3.77%
"Jul 17, 2025",308.9,308.9,308.9,308.9,11.40K,-1.15%
"Jul 16, 2025",312.5,312.5,312.5,312.5,13.30K,-0.65%
"Jul 15, 2025",314.55,312.55,312.55,312.55,0.01K,0.0429
"Jul 14, 2025",301.6,301.6,301.6,301.6,12.38K,-0.08%
"Jul 13, 2025",301.85,286.9,303.65,286.85,20.55K,0.0536
"Jul 10, 2025",286.5,288.7,297.6,285.05,16.56K,-0.45%
"Jul 09, 2025",287.8,278.65,294.55,277.6,21.64K,0.0132
"Jul 08, 2025",284.05,285.1,288.2,281.2,12.45K,-0.54%
"Jul 07, 2025",285.6,279,286.35,277.25,15.70K,0.0264
"Jul 06, 2025",278.25,287.6,289.35,277.55,16.73K,-3.92%
"Jul 02, 2025",289.6,290,294,284.3,11.06K,-0.55%
"Jul 01, 2025",291.2,290.05,292.25,279.6,18.32K,-0.26%
"Jun 30, 2025",291.95,298.4,300,288,16.07K,-2.72%
"Jun 29, 2025",300.1,302.9,307.35,297.55,11.58K,-1.20%
"Jun 26, 2025",303.75,304.75,307.05,293.15,14.74K,-0.62%
"Jun 25, 2025",305.65,304.3,308.25,301.75,11.13K,0.0038
"Jun 24, 2025",304.5,317.5,322.6,300.6,21.73K,-2.20%
"Jun 23, 2025",311.35,326,326,311,17.65K,-4.65%
"Jun 22, 2025",326.55,311.55,327.55,311.55,15.88K,0.0365
"Jun 19, 2025",315.05,322.85,328.65,311.85,18.79K,-2.25%
"Jun 17, 2025",322.3,330.4,331.2,318.05,21.66K,-3.05%
"Jun 16, 2025",332.45,342.6,344.05,330.6,18.70K,-2.29%
"Jun 15, 2025",340.25,345.9,349.8,339.25,13.76K,-1.66%
"Jun 12, 2025",346,343.25,348.2,334.3,24.24K,0.002
"Jun 11, 2025",345.3,347.2,349.55,343.3,20.10K,-0.95%
"Jun 10, 2025",348.6,353.55,356.35,347.35,15.31K,-1.26%
"Jun 09, 2025",353.05,359.65,370.4,351.6,21.69K,-1.77%
"Jun 08, 2025",359.4,354.85,361.85,352.45,19.18K,0.0038
"Jun 05, 2025",358.05,362.25,376.4,356.3,25.71K,-0.47%
"Jun 04, 2025",359.75,348.15,361.65,347.55,20.19K,0.0393
"Jun 03, 2025",346.15,340.85,347.7,339.55,12.78K,0.0155
"Jun 02, 2025",340.85,342.25,344.05,336.55,13.97K,-1.05%
"Jun 01, 2025",344.45,340.4,347.25,338.45,16.73K,0.0058
"May 29, 2025",342.45,348.6,351,341.2,14.94K,-1.71%
"May 28, 2025",348.4,352.95,357.3,347.15,13.38K,-1.01%
"May 27, 2025",351.95,359.2,360.05,350.15,15.42K,-2.70%
"May 26, 2025",361.7,359.1,364.85,355.55,12.12K,0.0019
"May 22, 2025",361,361.7,363,355.25,10.66K,0.0007
"May 21, 2025",360.75,368.45,368.45,359.2,14.75K,-2.58%
"May 20, 2025",370.3,370,375.2,366.4,7.63K,0.0027
"May 19, 2025",369.3,374,379.25,368.2,9.93K,-1.82%
"May 18, 2025",376.15,377.85,378.55,377.85,0.03K,-0.03%
"May 15, 2025",376.25,384.15,384.15,375.65,0.11K,-2.26%
"May 14, 2025",384.95,375,383,375,0.02K,0.0294
"May 13, 2025",373.95,378.75,378.75,373.75,0.03K,-2.83%
"May 12, 2025",384.85,380,380,380,0.03K,0.0319
"May 11, 2025",372.95,388,390.1,372.25,18.73K,-3.82%
"May 08, 2025",387.75,386.65,391.2,385.2,9.49K,0.001
"May 07, 2025",387.35,385.6,387.95,382.2,8.22K,0.0085
"May 06, 2025",384.1,389.35,393.25,382.5,10.78K,-1.47%
"May 05, 2025",389.85,386.05,394,384.1,9.96K,0.0041
"May 04, 2025",388.25,382.4,392,379.55,8.16K,0.0074
"May 01, 2025",385.4,386.7,392.75,381.75,10.04K,0.0019
"Apr 30, 2025",384.65,399.05,399.3,382.4,14.29K,-4.02%
"Apr 29, 2025",400.75,400.2,407.1,396.2,11.81K,0.0024
"Apr 28, 2025",399.8,410,418.9,396.7,14.53K,-2.50%
"Apr 27, 2025",410.05,395.9,411.3,392.95,13.63K,0.0255
"Apr 24, 2025",399.85,396.55,410.5,395.8,17.48K,0.0026
"Apr 23, 2025",398.8,384,399.8,381.45,14.88K,0.0338
"Apr 22, 2025",385.75,375.5,390.55,374.5,14.10K,0.0349
"Apr 21, 2025",372.75,366.55,375.5,362.5,11.58K,0.0225
"Apr 20, 2025",364.55,371.75,376.55,362.3,10.47K,-2.16%
"Apr 16, 2025",372.6,375.05,378.45,367.2,12.50K,-0.32%
"Apr 15, 2025",373.8,366,376.75,362.05,12.91K,0.0181
"Apr 14, 2025",367.15,360.8,370.4,360.8,19.85K,0.0241
"Apr 13, 2025",358.5,357.5,363.85,352.1,19.26K,0.0022
"Apr 10, 2025",357.7,345.95,360.7,341.6,23.38K,0.0433
"Apr 09, 2025",342.85,360.1,361.5,342.15,20.19K,0.0034
"Apr 08, 2025",341.7,341.15,353.75,325.2,28.74K,-0.35%
"Apr 07, 2025",342.9,345,350.15,340.5,25.85K,-0.55%
"Apr 06, 2025",344.8,362.5,364.5,338.6,37.08K,-5.72%
"Apr 03, 2025",365.7,386.55,389.35,364.9,24.92K,-5.07%
"Apr 02, 2025",385.25,386.4,391,376.9,16.45K,-0.93%
"Apr 01, 2025",388.85,389.05,393.7,382.15,13.89K,-0.05%
"Mar 31, 2025",389.05,379.25,391.45,372.25,18.43K,0.0245
"Mar 30, 2025",379.75,380,386.4,378.55,14.17K,-0.05%
"Mar 27, 2025",379.95,380.8,384.8,377.55,15.50K,0.003
"Mar 26, 2025",378.8,392,392.1,375.6,21.79K,-3.37%
"Mar 25, 2025",392,400,405.4,388.55,14.38K,-1.64%
"Mar 24, 2025",398.55,393.45,401,392.1,12.35K,0.0131
"Mar 23, 2025",393.4,391.45,402.4,390.6,13.31K,0.0051
"Mar 20, 2025",391.4,392,395.75,386.5,12.38K,-0.19%
"Mar 19, 2025",392.15,389.3,397.6,386.05,14.04K,-0.62%
"Mar 18, 2025",394.6,394.15,394.15,394.1,0.02K,0.0192
"Mar 17, 2025",387.15,386,391.95,383.7,0.02K,-0.57%
"Mar 16, 2025",389.35,382.75,382.75,382.75,0.01K,0.019
"Mar 13, 2025",382.1,382.1,382.1,382.1,16.67K,-0.93%
"Mar 12, 2025",385.7,388.8,391.7,377.05,18.70K,-0.27%
"Mar 11, 2025",386.75,394,396.4,383.15,17.15K,-1.78%
"Mar 10, 2025",393.75,384.7,395.5,382,13.05K,0.0254
"Mar 09, 2025",384,387,391.6,380.85,12.98K,-0.10%
"Mar 06, 2025",384.4,389,392.05,379.05,16.31K,-0.71%
"Mar 05, 2025",387.15,405.05,407.9,385.75,20.87K,-5.56%
"Mar 04, 2025",409.95,402,418.55,402,21.23K,0.029
"Mar 03, 2025",398.4,389.85,401.55,385.6,19.50K,0.0304
"Mar 02, 2025",386.65,375.7,389.95,375.7,15.93K,0.0365
"Feb 27, 2025",373.05,374.9,379.05,369.7,12.80K,-0.15%
"Feb 26, 2025",373.6,371.6,382.65,369.05,12.18K,-0.43%
"Feb 25, 2025",375.2,372.8,377.55,366.3,14.59K,-0.19%
"Feb 24, 2025",375.9,384.8,385.8,370.25,19.95K,-2.31%
"Feb 23, 2025",384.8,389.25,392.4,380.2,14.26K,-1.14%
"Feb 20, 2025",389.25,390,394,383.85,16.85K,-0.17%
"Feb 19, 2025",389.9,410.2,410.2,386.85,29.23K,-5.34%
"Feb 18, 2025",411.9,411,424.5,409.45,24.49K,0.0164
"Feb 17, 2025",405.25,406,409.25,391.35,33.57K,-0.53%
"Feb 13, 2025",407.4,422.25,423.9,398.85,27.18K,-4.16%
"Feb 12, 2025",425.1,417,426.7,412.45,28.27K,0.0117
"Feb 11, 2025",420.2,405.95,421.15,405.3,28.36K,0.0391
"Feb 10, 2025",404.4,425,429.95,401.05,35.48K,-3.97%
"Feb 09, 2025",421.1,400.15,424.1,400.15,36.68K,0.0414
"Feb 06, 2025",404.35,403.25,413.95,399.95,25.61K,0.001
"Feb 05, 2025",403.95,402,411.25,398.7,25.38K,0.0156
"Feb 04, 2025",397.75,385.9,401.1,381.6,26.19K,0.0376
"Feb 03, 2025",383.35,385.1,389.9,380.9,19.98K,0.0064
"Feb 02, 2025",380.9,375.85,388.95,373.4,25.16K,0.0081
"Jan 30, 2025",377.85,380,381.05,366.2,25.87K,0.0119
"Jan 29, 2025",373.4,368,376.85,365.35,20.67K,0.0187
"Jan 28, 2025",366.55,360.25,369.45,359.2,22.49K,0.0253
"Jan 27, 2025",357.5,352.55,358.9,346.8,15.98K,0.0238
"Jan 26, 2025",349.2,348.75,355.55,345.2,19.56K,0.0047
"Jan 23, 2025",347.55,345,349.8,341.9,13.67K,0.0105
"Jan 22, 2025",343.95,342,348.9,338.85,20.10K,0.0061
"Jan 21, 2025",341.85,331.2,342.95,327.5,20.01K,0.0429
"Jan 20, 2025",327.8,330.4,336.25,327.1,16.31K,-0.17%
"Jan 16, 2025",328.35,328.9,332.45,325.9,12.50K,0.0037
"Jan 15, 2025",327.15,330.55,332.05,325.2,12.58K,-1.00%
"Jan 14, 2025",330.45,322.5,331.2,321.05,12.30K,0.0264
"Jan 13, 2025",321.95,325.5,328.85,321.05,16.25K,-1.23%
"Jan 12, 2025",325.95,322.9,333.85,322.1,19.36K,0.0065
"Jan 09, 2025",323.85,319.5,325.85,317.75,15.99K,0.0168
"Jan 08, 2025",318.5,321,322,316.65,14.25K,0.0065
"Jan 07, 2025",316.45,320.65,324.3,314.9,21.11K,-1.26%
"Jan 06, 2025",320.5,320.65,323.1,317.75,12.72K,0.006
"Jan 05, 2025",318.6,318.65,328.6,317.05,15.99K,-0.02%
"Jan 02, 2025",318.65,324.75,326.25,317.65,11.89K,-2.51%
"Jan 01, 2025",326.85,321.55,329.8,319.75,14.74K,0.0222
"Dec 30, 2024",319.75,318.85,321.3,312.15,14.69K,-0.39%
"Dec 29, 2024",321,322.15,323.85,316.8,12.65K,-0.51%
"Dec 26, 2024",322.65,323.65,325.5,318.4,11.07K,-0.62%
"Dec 25, 2024",324.65,330,331.5,322.35,7.16K,-1.20%
"Dec 23, 2024",328.6,327.05,329.55,322.05,7.21K,0.0041
"Dec 22, 2024",327.25,325,329.75,320.85,10.32K,0.0069
"Dec 19, 2024",325,325.5,329.5,319,15.02K,0.0039
"Dec 18, 2024",323.75,332.65,341.8,321.5,26.44K,-2.82%
"Dec 17, 2024",333.15,333.15,333.15,333.15,17.91K,0.0237
"Dec 16, 2024",325.45,322.6,322.6,322.6,0.00K,-1.00%
"Dec 15, 2024",328.75,328.25,328.25,328.25,0.00K,0.0246
"Dec 12, 2024",320.85,320.85,320.85,320.85,15.43K,-0.54%
"Dec 11, 2024",322.6,322.6,322.6,322.6,17.45K,0.0028
"Dec 10, 2024",321.7,321.7,321.7,321.7,23.42K,-4.16%
"Dec 09, 2024",335.65,343.85,347.35,343.7,0.02K,0.0101
"Dec 08, 2024",332.3,332.3,332.3,332.3,27.65K,-0.06%
"Dec 05, 2024",332.5,315.95,331.7,313.7,26.34K,0.053
"Dec 04, 2024",315.75,310.75,312.45,307.85,0.00K,0.032
"Dec 03, 2024",305.95,306.6,306.6,305.8,0.02K,0.0277
"Dec 02, 2024",297.7,298.35,303.45,293.75,0.05K,-0.50%
"Dec 01, 2024",299.2,318.1,318.1,297.6,0.03K,-6.98%
"Nov 28, 2024",321.65,334.5,335,324.3,1.14K,-1.38%
"Nov 26, 2024",326.15,320,329.5,319.65,0.03K,0.0449
"Nov 25, 2024",312.15,310.05,313,310.05,0.02K,0.0123
"Nov 24, 2024",308.35,308.3,312.8,307.25,0.08K,0.0102
"Nov 21, 2024",305.25,296.55,306.25,296.55,0.04K,0.0221
"Nov 20, 2024",298.65,300,300,295.75,0.09K,0.0113
"Nov 19, 2024",295.3,288,296.95,286.3,0.25K,0.0556
"Nov 18, 2024",279.75,281.7,287.2,277.75,6.89K,-0.36%
"Nov 17, 2024",280.75,284.25,290.2,278.35,7.71K,-0.37%
"Nov 14, 2024",281.8,274.95,283.9,274.95,10.32K,0.0102
"Nov 13, 2024",278.95,271.65,285.05,270.95,9.89K,0.0269
"Nov 12, 2024",271.65,262.9,272.95,260.75,16.03K,0.0307
"Nov 11, 2024",263.55,256.75,266.4,256.7,23.93K,0.0287
"Nov 10, 2024",256.2,253.35,258.7,253.35,27.43K,0.0112
"Nov 07, 2024",253.35,258,259.95,252.75,43.85K,-2.71%
"Nov 06, 2024",260.4,250.15,261.4,249.5,38.86K,0.0468
"Nov 05, 2024",248.75,248.6,250.8,244.15,24.33K,-0.56%
"Nov 04, 2024",250.15,246.55,252.25,246,28.77K,0.0171
"Nov 03, 2024",245.95,243.85,246.55,242.1,24.03K,0.0123
"Oct 31, 2024",242.95,246.3,249.25,241.3,23.12K,-1.20%
"Oct 30, 2024",245.9,249,249.5,244.35,17.38K,-1.48%
"Oct 29, 2024",249.6,248.7,250.55,245.15,16.87K,0.006
"Oct 28, 2024",248.1,253.2,254.25,247.85,13.58K,-1.68%
"Oct 27, 2024",252.35,247.25,255.65,246.25,17.94K,0.0159
"Oct 24, 2024",248.4,245.85,248.75,244.4,15.94K,0.012
"Oct 23, 2024",245.45,251.9,256.1,244.1,21.96K,-2.73%
"Oct 22, 2024",252.35,249.25,253.85,247.4,15.43K,0.01
"Oct 21, 2024",249.85,252.5,255.7,248.55,17.53K,-0.73%
"Oct 20, 2024",251.7,253.5,254.05,248.05,16.92K,-2.18%
"Oct 17, 2024",257.3,254,259.1,253.1,11.06K,0.0084
"Oct 16, 2024",255.15,257.1,261,253.4,13.29K,-1.10%
"Oct 15, 2024",258,258,259.55,254.8,13.09K,0.0051
"Oct 14, 2024",256.7,261.7,264.15,255.35,14.78K,-2.04%
"Oct 13, 2024",262.05,251.05,262.65,250.3,16.92K,0.0397
"Oct 10, 2024",252.05,254.25,256.45,251,13.85K,-1.06%
"Oct 09, 2024",254.75,248.05,257.1,247.4,15.93K,0.0188
"Oct 08, 2024",250.05,247.75,252.9,246.6,14.32K,0.0075
"Oct 07, 2024",248.2,248.05,248.9,244.05,16.06K,0.0145
"Oct 06, 2024",244.65,252.85,253.65,243.35,26.38K,-4.93%
"Oct 03, 2024",257.35,253.85,257.75,252,14.34K,0.021
"Oct 02, 2024",252.05,257.95,258.5,251.4,16.85K,-1.73%
"Oct 01, 2024",256.5,265.5,267.5,255.75,24.17K,-2.90%
"Sep 30, 2024",264.15,269.8,271.45,261.5,19.96K,-2.26%
"Sep 29, 2024",270.25,268.15,272.15,264.1,18.34K,0.0041
"Sep 26, 2024",269.15,272,273.15,264.6,14.95K,-1.73%
"Sep 25, 2024",273.9,268.75,275.05,267.95,15.57K,0.0178
"Sep 24, 2024",269.1,267,271.2,263.2,15.05K,0.0049
"Sep 23, 2024",267.8,263.65,270.4,262.7,19.28K,0.0157
"Sep 22, 2024",263.65,251.9,264.4,250.1,21.10K,0.0514
"Sep 19, 2024",250.75,261.8,262.1,247.7,23.78K,-4.17%
"Sep 18, 2024",261.65,260.6,263,257.3,14.17K,-0.57%
"Sep 17, 2024",263.15,265.7,265.7,265.7,0.00K,-0.70%
"Sep 16, 2024",265,264.2,265.05,264.2,0.00K,0.023
"Sep 15, 2024",259.05,258,271.8,257.55,24.44K,-1.14%
"Sep 12, 2024",262.05,261.75,261.75,261.75,0.00K,0.0399
"Sep 11, 2024",252,247.15,250.95,246.3,14.57K,0.0102
"Sep 10, 2024",249.45,247.85,247.85,247.85,0.00K,0.0058
"Sep 09, 2024",248,245.9,251.25,244.75,17.36K,-0.58%
"Sep 08, 2024",249.45,238.1,246.2,238.1,20.06K,0.0392
"Sep 05, 2024",240.05,246.5,246.5,240,0.00K,-2.66%
"Sep 04, 2024",246.6,243.7,248.55,242.25,14.98K,0.0043
"Sep 03, 2024",245.55,246.45,246.45,246.1,0.00K,-0.49%
"Sep 02, 2024",246.75,246.65,246.65,246.65,0.02K,-0.58%
"Aug 29, 2024",248.2,255.45,255.5,250.3,0.02K,-1.43%
"Aug 28, 2024",251.8,258.7,258.7,250.3,0.05K,-3.32%
"Aug 27, 2024",260.45,259,259.05,259,0.01K,0.004
"Aug 26, 2024",259.4,259.15,263.65,254.65,0.06K,0.0227
"Aug 25, 2024",253.65,249.4,253.25,248.4,0.01K,0.0098
"Aug 22, 2024",251.2,246.8,251.35,245.05,0.05K,0.0178
"Aug 21, 2024",246.8,253.3,253.3,244.5,0.25K,-1.06%
"Aug 20, 2024",249.45,247,253,244,4.07K,0.00%
"Aug 19, 2024",249.45,247.9,254.5,245.8,5.94K,0.0144
"Aug 18, 2024",245.9,245.5,249.8,242.6,5.27K,0.0018
"Aug 15, 2024",245.45,239.1,245.8,238.55,8.50K,0.0231
"Aug 14, 2024",239.9,236.8,240.35,234.3,7.42K,0.0122
"Aug 13, 2024",237,232.75,238.95,232.05,10.30K,0.0185
"Aug 12, 2024",232.7,235.8,237.15,230.1,24.08K,-3.38%
"Aug 11, 2024",240.85,245.5,249.45,239.25,25.85K,0.0291
"Aug 08, 2024",234.05,245.3,246.05,232.25,44.48K,-4.59%
"Aug 07, 2024",245.3,245.25,251.75,243.1,37.13K,-0.41%
"Aug 06, 2024",246.3,235.35,248,235.25,40.13K,0.0439
"Aug 05, 2024",235.95,229.85,238.85,229.55,31.48K,0.0454
"Aug 04, 2024",225.7,227.35,227.9,221,24.82K,-2.08%
"Aug 01, 2024",230.5,227.25,231.75,226.45,16.95K,0.0143
"Jul 31, 2024",227.25,229.2,231.15,225.25,19.19K,-0.85%
"Jul 30, 2024",229.2,230.5,235.4,227.1,22.04K,-0.69%
"Jul 29, 2024",230.8,230.85,233.2,228.25,15.92K,0.0017
"Jul 28, 2024",230.4,230.35,233.6,228.1,16.27K,0.0007
"Jul 25, 2024",230.25,232.55,233,229.8,13.31K,-1.90%
"Jul 24, 2024",234.7,231.35,235.45,228.55,26.64K,0.0154
"Jul 23, 2024",231.15,238,238.6,230.55,29.80K,-3.32%
"Jul 22, 2024",239.1,242.5,243.1,238.25,13.52K,-1.63%
"Jul 21, 2024",243.05,237.7,244.55,236.5,15.36K,0.0204
"Jul 18, 2024",238.2,241.85,241.85,233.6,20.95K,-2.14%
"Jul 17, 2024",243.4,243.6,245.4,240.5,14.40K,-1.60%
"Jul 16, 2024",247.35,245.5,247,241.8,17.47K,0.0079
"Jul 15, 2024",245.4,243.35,245.85,242.2,12.56K,0.0051
"Jul 14, 2024",244.15,249.3,249.5,248.5,0.00K,-2.52%
"Jul 11, 2024",250.45,245.75,249.7,241.2,19.84K,0.015
"Jul 10, 2024",246.75,247.1,247.1,247.1,0.00K,0.0043
"Jul 09, 2024",245.7,249,249,248.1,0.00K,-2.50%
"Jul 08, 2024",252,233.65,252.35,233.15,38.89K,0.0669
"Jul 07, 2024",236.2,236.7,236.7,236.7,0.00K,0.0256
"Jul 04, 2024",230.3,228.5,233.05,226.35,17.56K,0.0193
